Community,House Size (sqft),Year Built,House Value,House Value per Sqft,LAT,LNG
Calhoun-Isle,2415.07073,1940.232503,525966.3701,217.7850792,44.959319,-93.306924
Camden,1931.847255,1936.081986,173586.013,89.85493678,45.032955,-93.3003
Longfellow,1949.829218,1928.355414,291723.0158,149.6146499,44.948282,-93.227425
Near North,2201.447637,1937.533322,177547.4528,80.65031839,44.993191,-93.293128
Nokomis,2093.112378,1938.409419,304767.8679,145.6051147,44.906686,-93.23768
North East,2004.985241,1936.102749,262494.1978,130.9207631,45.015793,-93.249438
Phillips,1844.164526,1940.125994,184131.8043,99.84564917,44.95652,-93.257054
Powderhorn,1882.605671,1927.957364,233263.9331,123.9048286,44.938932,-93.25848
Southwest,2457.285679,1934.550623,468208.9166,190.5390654,44.916219,-93.298635
University,1741.90953,1952.769759,329684.7522,189.2662888,44.976498,-93.230213
