,Community,Population,Total Crime,Violent Crime,Non-Violent Crime,Total Crime Rate,Violent Crime Rate,Non-Violent Crime Rate
0,Calhoun-Isle,30487,8893,2079,6814,58.34,13.64,44.7
1,Camden,30586,7916,3966,3950,51.76,25.93,25.83
2,Central,34490,19839,4466,15373,115.04,25.9,89.14
3,Longfellow,28490,8612,2331,6281,60.46,16.36,44.09
4,Near North,34902,8661,4203,4457,49.63,24.08,25.54
5,Nokomis,38503,5164,2115,3049,26.82,10.99,15.84
6,North East,38226,6629,2117,4511,34.68,11.08,23.6
7,Phillips,22433,7211,2935,4276,64.29,26.17,38.12
8,Powderhorn,58154,13741,5361,8380,47.26,18.44,28.82
9,Southwest,49820,5625,1844,3781,22.58,7.4,15.18
10,University,45061,8996,2383,6612,39.93,10.58,29.35
