Community,Student Population,Students Per Teacher,Free Discount Lunch,Average Standard Score,Rank Statewide,Rank Stars,GS Rank Stars
Calhoun-Isle,444.0,14.2,64.77,21.349087500000003,18.3725,1.0,2.5
Camden,431.42857142857144,13.299999999999999,69.02714285714286,8.295138,7.562,0.16666666666666666,1.3333333333333333
Central,137.83333333333334,11.620000000000001,70.376,22.734154999999998,19.29,0.5,2.5
Longfellow,272.85714285714283,14.470000000000002,67.2090909090909,34.067445,31.71666666666667,1.6666666666666667,3.5
Near North,157.1764705882353,9.010000000000002,72.55714285714286,3.7631628571428566,3.0471428571428567,0.0,1.625
Nokomis,480.2,18.360000000000003,27.553999999999995,74.2277825,77.38999999999999,4.0,5.5
Northeast,261.7142857142857,12.2,69.60000000000001,24.382581428571427,20.754285714285714,0.8571428571428571,2.7142857142857144
Phillips,312.6666666666667,11.05,60.946666666666665,2.873,2.56,0.0,2.0
Powderhorn,436.53333333333336,12.591666666666663,73.45692307692308,12.050402222222221,10.859999999999998,0.4444444444444444,1.8888888888888888
Southwest,725.3846153846154,18.80909090909091,27.779090909090908,70.41942,70.81500000000001,3.6,5.6
University,121.0,12.733333333333334,71.44,14.364195,11.825,0.3333333333333333,2.0
