Community,Student Population,Students Per Teacher,Free Discount Lunch,Average Standard Score,Rank Statewide,Rank Stars,GS Rank Stars
Calhoun-Isle,444,14.2,64.77,21.3490875,18.3725,1,2.5
Camden,431.4285714,13.3,69.02714286,8.295138,7.562,0.166666667,1.333333333
Longfellow,272.8571429,14.47,67.20909091,34.067445,31.71666667,1.666666667,3.5
Near North,157.1764706,9.01,72.55714286,3.763162857,3.047142857,0,1.625
Nokomis,480.2,18.36,27.554,74.2277825,77.39,4,5.5
Northeast,261.7142857,12.2,69.6,24.38258143,20.75428571,0.857142857,2.714285714
Phillips,312.6666667,11.05,60.94666667,2.873,2.56,0,2
Powderhorn,436.5333333,12.59166667,73.45692308,12.05040222,10.86,0.444444444,1.888888889
Southwest,725.3846154,18.80909091,27.77909091,70.41942,70.815,3.6,5.6
University,121,12.73333333,71.44,14.364195,11.825,0.333333333,2
